Pattern ID,Total Plays,Goals,Shots,Other,Success Rate %,Avg Duration (s),Avg Forward (m),Avg Events,Wing Plays,Center Plays
1,27,0,2,0,0.0,4.3,17.8,3.1,27,0
2,23,0,0,0,0.0,4.3,16.1,3.0,0,23
3,18,0,0,0,0.0,5.0,26.0,3.2,18,0
4,16,0,2,0,0.0,5.0,30.9,2.9,16,0
5,16,0,0,0,0.0,4.4,6.9,4.1,0,16
6,16,0,0,0,0.0,6.0,7.4,4.0,0,16
7,16,0,0,0,0.0,4.8,8.0,4.1,16,0
8,14,0,0,0,0.0,4.8,6.8,4.2,14,0
9,14,0,0,0,0.0,4.7,7.0,4.1,14,0
10,13,0,1,0,0.0,4.4,16.0,3.0,0,13
11,13,0,0,0,0.0,7.8,9.2,4.0,0,13
12,13,0,0,0,0.0,3.7,10.1,2.6,0,13
13,13,0,3,0,0.0,5.3,34.9,3.0,13,0
14,12,2,4,0,16.7,4.4,25.5,3.0,0,12
18,11,1,3,0,9.1,4.7,24.4,3.0,0,11
19,11,0,0,0,0.0,4.2,7.8,3.0,11,0
16,11,0,0,0,0.0,5.5,9.0,3.0,0,11
17,11,0,0,0,0.0,5.1,11.3,4.3,11,0
15,11,0,1,0,0.0,4.9,16.8,2.8,0,11
20,10,0,0,0,0.0,7.4,41.1,3.1,10,0
21,10,0,0,0,0.0,6.0,50.2,2.6,10,0
22,10,0,0,0,0.0,4.1,16.7,3.5,10,0
23,10,0,0,0,0.0,4.1,25.3,2.8,10,0
24,10,0,0,0,0.0,5.5,9.2,3.7,0,10
25,10,0,0,0,0.0,5.1,6.0,3.6,0,10
26,10,0,0,0,0.0,4.7,13.8,3.4,0,10
27,10,0,0,0,0.0,5.2,21.4,3.2,10,0
28,10,0,0,0,0.0,4.3,7.7,3.0,10,0
33,9,0,0,0,0.0,5.2,6.8,3.4,0,9
36,9,0,0,0,0.0,3.6,15.0,3.2,9,0
34,9,0,0,0,0.0,3.8,26.3,2.9,9,0
35,9,0,0,0,0.0,7.5,8.3,4.0,9,0
32,9,0,0,0,0.0,5.2,10.4,3.9,9,0
29,9,0,0,0,0.0,5.9,7.5,3.9,0,9
30,9,0,0,0,0.0,4.4,9.1,4.0,9,0
31,9,0,0,0,0.0,4.2,8.0,3.2,9,0
47,8,0,0,0,0.0,3.7,8.3,3.1,8,0
56,8,0,0,0,0.0,4.2,11.6,3.1,8,0
55,8,0,0,0,0.0,5.9,9.5,4.5,0,8
54,8,0,0,0,0.0,5.6,8.6,3.0,0,8
53,8,0,0,0,0.0,4.3,9.6,3.0,8,0
52,8,0,0,0,0.0,4.3,17.3,3.4,8,0
50,8,0,1,0,0.0,8.2,16.4,4.9,8,0
49,8,0,0,0,0.0,4.8,12.6,3.4,8,0
48,8,0,0,0,0.0,4.1,27.3,2.6,8,0
51,8,0,0,0,0.0,4.0,24.2,2.1,8,0
46,8,0,0,0,0.0,9.7,12.1,5.0,0,8
44,8,0,1,0,0.0,3.8,21.4,2.4,0,8
43,8,0,0,0,0.0,6.0,7.4,4.0,8,0
42,8,0,1,0,0.0,3.9,12.3,3.6,8,0
41,8,0,2,0,0.0,4.6,16.1,2.9,8,0
40,8,0,0,0,0.0,4.1,11.7,3.9,8,0
39,8,0,0,0,0.0,4.1,7.9,4.1,8,0
38,8,0,0,0,0.0,4.9,26.2,3.1,8,0
